Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.14,10.1.1.4,399,237,59.3985,174.432,21804,+2.63111e+09ns,1.75745,AODV,40,25,10,7.5,40,3
2,10.1.1.18,10.1.1.8,399,236,59.1479,173.696,21712,+3.3189e+10ns,1.74566,AODV,40,25,10,7.5,40,3
3,10.1.1.20,10.1.1.10,399,92,23.0576,67.712,8464,+7.34705e+09ns,0.709016,AODV,40,25,10,7.5,40,3
4,10.1.1.8,10.1.1.20,9,7,77.7778,2.496,312,+1.02895e+09ns,0.474203,AODV,40,25,10,7.5,40,3
5,10.1.1.8,10.1.1.10,1,0,0,0,0,+0ns,-0,AODV,40,25,10,7.5,40,3
6,10.1.1.13,10.1.1.20,6,6,100,2.176,272,+1.02849e+09ns,0.0226076,AODV,40,25,10,7.5,40,3
7,10.1.1.13,10.1.1.10,1,0,0,0,0,+0ns,-0,AODV,40,25,10,7.5,40,3
8,10.1.1.24,10.1.1.20,11,11,100,3.968,496,+1.09424e+09ns,0.0641648,AODV,40,25,10,7.5,40,3
9,10.1.1.24,10.1.1.10,9,6,66.6667,2.24,280,+2.01941e+09ns,0.823492,AODV,40,25,10,7.5,40,3
10,10.1.1.16,10.1.1.20,1,1,100,0.384,48,+4.72521e+06ns,81.2662,AODV,40,25,10,7.5,40,3
11,10.1.1.16,10.1.1.10,13,13,100,4.928,616,+2.91119e+07ns,1.10365,AODV,40,25,10,7.5,40,3
12,10.1.1.20,10.1.1.16,24,24,100,8.944,1118,+4.64518e+07ns,0.183978,AODV,40,25,10,7.5,40,3
13,10.1.1.15,10.1.1.5,398,398,100,292.928,36616,+5.98466e+08ns,2.95141,AODV,40,25,10,7.5,40,3
14,10.1.1.16,10.1.1.6,398,283,71.1055,208.288,26036,+5.55908e+09ns,2.09804,AODV,40,25,10,7.5,40,3
15,10.1.1.11,10.1.1.1,397,244,61.461,179.584,22448,+5.66289e+09ns,1.81396,AODV,40,25,10,7.5,40,3
