Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.17,10.1.1.7,399,241,60.401,177.376,22172,+2.0253e+10ns,1.80071,AODV,60,25,10,7.5,80,3
2,10.1.1.15,10.1.1.5,398,58,14.5729,42.688,5336,+7.36174e+10ns,0.53523,AODV,60,25,10,7.5,80,3
3,10.1.1.16,10.1.1.6,398,224,56.2814,164.864,20608,+1.08842e+09ns,1.74451,AODV,60,25,10,7.5,80,3
4,10.1.1.51,10.1.1.16,8,8,100,3.008,376,+9.8902e+07ns,0.65254,AODV,60,25,10,7.5,80,3
5,10.1.1.51,10.1.1.6,7,0,0,0,0,+0ns,-0,AODV,60,25,10,7.5,80,3
6,10.1.1.29,10.1.1.16,15,14,93.3333,5.04,630,+6.03242e+07ns,0.574947,AODV,60,25,10,7.5,80,3
7,10.1.1.29,10.1.1.6,21,18,85.7143,6.912,864,+2.34737e+08ns,0.114859,AODV,60,25,10,7.5,80,3
8,10.1.1.26,10.1.1.16,20,0,0,0,0,+0ns,-0,AODV,60,25,10,7.5,80,3
9,10.1.1.26,10.1.1.6,25,24,96,8.704,1088,+2.48128e+08ns,0.177511,AODV,60,25,10,7.5,80,3
10,10.1.1.10,10.1.1.16,23,21,91.3043,7.536,942,+2.65262e+09ns,0.85428,AODV,60,25,10,7.5,80,3
11,10.1.1.10,10.1.1.6,13,13,100,4.928,616,+1.23974e+09ns,0.0867356,AODV,60,25,10,7.5,80,3
12,10.1.1.21,10.1.1.8,3,3,100,1.088,136,+3.12626e+07ns,0.0667516,AODV,60,25,10,7.5,80,3
13,10.1.1.21,10.1.1.6,52,47,90.3846,17.088,2136,+3.70581e+08ns,0.177449,AODV,60,25,10,7.5,80,3
14,10.1.1.38,10.1.1.8,4,4,100,1.328,166,+2.35923e+07ns,0.0810956,AODV,60,25,10,7.5,80,3
15,10.1.1.38,10.1.1.6,31,31,100,11.344,1418,+1.92368e+08ns,0.131423,AODV,60,25,10,7.5,80,3
16,10.1.1.37,10.1.1.8,10,9,90,3.184,398,+7.4152e+09ns,0.121981,AODV,60,25,10,7.5,80,3
17,10.1.1.37,10.1.1.6,6,0,0,0,0,+0ns,-0,AODV,60,25,10,7.5,80,3
18,10.1.1.16,10.1.1.51,5,5,100,1.2,150,+6.89987e+07ns,0.393521,AODV,60,25,10,7.5,80,3
