Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.20,10.1.1.10,205,23,11.2195,16.928,2116,+6.10227e+07ns,0.815751,OLSR,60,25,10,7.5,44,3
2,10.1.1.14,10.1.1.4,375,110,29.3333,80.96,10120,+4.82889e+09ns,0.815706,OLSR,60,25,10,7.5,44,3
3,10.1.1.19,10.1.1.9,254,39,15.3543,28.704,3588,+7.88753e+07ns,0.387821,OLSR,60,25,10,7.5,44,3
4,10.1.1.12,10.1.1.2,278,68,24.4604,50.048,6256,+1.89077e+08ns,0.505514,OLSR,60,25,10,7.5,44,3
5,10.1.1.18,10.1.1.8,275,40,14.5455,29.44,3680,+9.0592e+07ns,0.379869,OLSR,60,25,10,7.5,44,3
6,10.1.1.16,10.1.1.6,350,165,47.1429,121.44,15180,+2.65913e+08ns,1.54699,OLSR,60,25,10,7.5,44,3
7,10.1.1.13,10.1.1.3,236,0,0,0,0,+0ns,-0,OLSR,60,25,10,7.5,44,3
8,10.1.1.17,10.1.1.7,276,69,25,50.784,6348,+1.24153e+08ns,0.646914,OLSR,60,25,10,7.5,44,3
9,10.1.1.11,10.1.1.1,251,12,4.78088,8.832,1104,+5.86055e+09ns,0.152259,OLSR,60,25,10,7.5,44,3
10,10.1.1.15,10.1.1.5,66,0,0,0,0,+0ns,-0,OLSR,60,25,10,7.5,44,3
