Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.18,10.1.1.8,272,41,15.0735,30.176,3772,+9.69555e+07ns,0.38687,OLSR,60,25,10,7.5,30,3
2,10.1.1.12,10.1.1.2,327,60,18.3486,44.16,5520,+1.13639e+09ns,0.751627,OLSR,60,25,10,7.5,30,3
3,10.1.1.14,10.1.1.4,357,108,30.2521,79.488,9936,+3.47279e+08ns,0.802897,OLSR,60,25,10,7.5,30,3
4,10.1.1.20,10.1.1.10,220,10,4.54545,7.36,920,+3.92582e+07ns,0.267617,OLSR,60,25,10,7.5,30,3
5,10.1.1.16,10.1.1.6,357,170,47.619,125.12,15640,+1.91875e+08ns,1.4591,OLSR,60,25,10,7.5,30,3
6,10.1.1.19,10.1.1.9,377,65,17.2414,47.84,5980,+1.70737e+09ns,0.648583,OLSR,60,25,10,7.5,30,3
7,10.1.1.13,10.1.1.3,284,21,7.39437,15.456,1932,+5.41147e+09ns,0.189588,OLSR,60,25,10,7.5,30,3
8,10.1.1.17,10.1.1.7,276,63,22.8261,46.368,5796,+1.17045e+09ns,0.497233,OLSR,60,25,10,7.5,30,3
9,10.1.1.11,10.1.1.1,277,7,2.52708,5.152,644,+2.31966e+09ns,0.228952,OLSR,60,25,10,7.5,30,3
10,10.1.1.15,10.1.1.5,57,0,0,0,0,+0ns,-0,OLSR,60,25,10,7.5,30,3
