Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.20,10.1.1.10,222,25,11.2613,18.4,2300,+6.37195e+07ns,0.886617,OLSR,60,25,10,7.5,74,3
2,10.1.1.16,10.1.1.6,358,167,46.648,122.912,15364,+2.14874e+08ns,1.43321,OLSR,60,25,10,7.5,74,3
3,10.1.1.14,10.1.1.4,376,107,28.4574,78.752,9844,+2.513e+09ns,0.79346,OLSR,60,25,10,7.5,74,3
4,10.1.1.19,10.1.1.9,368,53,14.4022,39.008,4876,+4.15532e+08ns,0.528916,OLSR,60,25,10,7.5,74,3
5,10.1.1.12,10.1.1.2,240,65,27.0833,47.84,5980,+2.4605e+09ns,0.810813,OLSR,60,25,10,7.5,74,3
6,10.1.1.13,10.1.1.3,252,2,0.793651,1.472,184,+4.47401e+07ns,0.0185119,OLSR,60,25,10,7.5,74,3
7,10.1.1.18,10.1.1.8,245,36,14.6939,26.496,3312,+1.02025e+10ns,0.344102,OLSR,60,25,10,7.5,74,3
8,10.1.1.17,10.1.1.7,279,68,24.3728,50.048,6256,+2.51063e+09ns,0.633503,OLSR,60,25,10,7.5,74,3
9,10.1.1.11,10.1.1.1,249,8,3.21285,5.888,736,+5.14735e+07ns,0.379398,OLSR,60,25,10,7.5,74,3
10,10.1.1.15,10.1.1.5,20,0,0,0,0,+0ns,-0,OLSR,60,25,10,7.5,74,3
