Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,383,95.99,281.888,35236,+2.25199e+08ns,2.83304,OLSR,50,10,10,11,5,3
2,10.1.1.20,10.1.1.10,399,332,83.208,244.352,30544,+2.16242e+08ns,2.45576,OLSR,50,10,10,11,5,3
3,10.1.1.16,10.1.1.6,399,356,89.2231,262.016,32752,+2.16915e+08ns,2.63332,OLSR,50,10,10,11,5,3
4,10.1.1.17,10.1.1.7,270,140,51.8519,103.04,12880,+5.85117e+09ns,1.03556,OLSR,50,10,10,11,5,3
5,10.1.1.18,10.1.1.8,399,399,100,293.664,36708,+2.0779e+08ns,2.95139,OLSR,50,10,10,11,5,3
6,10.1.1.14,10.1.1.4,360,210,58.3333,154.56,19320,+5.12183e+09ns,1.59338,OLSR,50,10,10,11,5,3
7,10.1.1.12,10.1.1.2,212,60,28.3019,44.16,5520,+5.25331e+08ns,0.467286,OLSR,50,10,10,11,5,3
8,10.1.1.19,10.1.1.9,356,226,63.4831,166.336,20792,+7.9791e+08ns,1.68437,OLSR,50,10,10,11,5,3
9,10.1.1.13,10.1.1.3,312,203,65.0641,149.408,18676,+4.21685e+09ns,1.51296,OLSR,50,10,10,11,5,3
10,10.1.1.11,10.1.1.1,187,28,14.9733,20.608,2576,+3.12836e+09ns,0.243153,OLSR,50,10,10,11,5,3
