Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,399,100,293.664,36708,+1.46114e+08ns,2.95139,OLSR,50,10,10,16,5,3
2,10.1.1.20,10.1.1.10,399,376,94.2356,276.736,34592,+1.57672e+08ns,2.78124,OLSR,50,10,10,16,5,3
3,10.1.1.11,10.1.1.1,238,153,64.2857,112.608,14076,+2.72907e+09ns,1.13172,OLSR,50,10,10,16,5,3
4,10.1.1.16,10.1.1.6,399,399,100,293.664,36708,+1.41874e+08ns,2.95139,OLSR,50,10,10,16,5,3
5,10.1.1.17,10.1.1.7,399,376,94.2356,276.736,34592,+5.03958e+09ns,2.78124,OLSR,50,10,10,16,5,3
6,10.1.1.18,10.1.1.8,399,399,100,293.664,36708,+1.44231e+08ns,2.95139,OLSR,50,10,10,16,5,3
7,10.1.1.14,10.1.1.4,398,369,92.7136,271.584,33948,+5.07781e+09ns,2.73634,OLSR,50,10,10,16,5,3
8,10.1.1.12,10.1.1.2,337,224,66.4688,164.864,20608,+6.30402e+08ns,1.66948,OLSR,50,10,10,16,5,3
9,10.1.1.19,10.1.1.9,396,376,94.9495,276.736,34592,+6.35968e+08ns,2.80236,OLSR,50,10,10,16,5,3
10,10.1.1.13,10.1.1.3,396,354,89.3939,260.544,32568,+2.74316e+09ns,2.6384,OLSR,50,10,10,16,5,3
