Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.13,10.1.1.3,375,303,80.8,223.008,27876,+5.4533e+09ns,2.24128,OLSR,20,25,10,7.5,18,3
2,10.1.1.20,10.1.1.10,279,30,10.7527,22.08,2760,+2.33875e+09ns,0.347712,OLSR,20,25,10,7.5,18,3
3,10.1.1.17,10.1.1.7,274,101,36.8613,74.336,9292,+8.50669e+09ns,0.750862,OLSR,20,25,10,7.5,18,3
4,10.1.1.19,10.1.1.9,240,112,46.6667,82.432,10304,+1.7281e+08ns,0.836866,OLSR,20,25,10,7.5,18,3
5,10.1.1.16,10.1.1.6,191,76,39.7906,55.936,6992,+8.74394e+07ns,0.782318,OLSR,20,25,10,7.5,18,3
