Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.14,10.1.1.4,1,0,0,0,0,+0ns,-0,OLSR,20,25,10,7.5,40,3
2,10.1.1.20,10.1.1.10,282,32,11.3475,23.552,2944,+2.34229e+09ns,0.369438,OLSR,20,25,10,7.5,40,3
3,10.1.1.19,10.1.1.9,280,91,32.5,66.976,8372,+1.4247e+08ns,0.674815,OLSR,20,25,10,7.5,40,3
4,10.1.1.13,10.1.1.3,373,294,78.8204,216.384,27048,+5.46444e+09ns,2.18569,OLSR,20,25,10,7.5,40,3
5,10.1.1.17,10.1.1.7,258,92,35.6589,67.712,8464,+2.20958e+08ns,0.683953,OLSR,20,25,10,7.5,40,3
6,10.1.1.16,10.1.1.6,194,86,44.3299,63.296,7912,+3.84795e+08ns,0.879107,OLSR,20,25,10,7.5,40,3
