Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.20,10.1.1.10,255,68,26.6667,50.048,6256,+1.03073e+08ns,0.602982,OLSR,50,50,10,7,5,3
2,10.1.1.17,10.1.1.7,384,245,63.8021,180.32,22540,+3.24451e+08ns,1.81226,OLSR,50,50,10,7,5,3
3,10.1.1.18,10.1.1.8,97,16,16.4948,11.776,1472,+2.52982e+07ns,0.118351,OLSR,50,50,10,7,5,3
4,10.1.1.19,10.1.1.9,81,33,40.7407,24.288,3036,+6.09767e+07ns,3.03566,OLSR,50,50,10,7,5,3
5,10.1.1.16,10.1.1.6,125,24,19.2,17.664,2208,+5.21213e+07ns,1.50167,OLSR,50,50,10,7,5,3
6,10.1.1.14,10.1.1.4,202,64,31.6832,47.104,5888,+1.06325e+08ns,0.84491,OLSR,50,50,10,7,5,3
7,10.1.1.11,10.1.1.1,142,31,21.831,22.816,2852,+6.88287e+07ns,0.323618,OLSR,50,50,10,7,5,3
8,10.1.1.13,10.1.1.3,119,75,63.0252,55.2,6900,+9.30229e+07ns,2.37416,OLSR,50,50,10,7,5,3
9,10.1.1.15,10.1.1.5,94,2,2.12766,1.472,184,+1.01877e+07ns,0.0566123,OLSR,50,50,10,7,5,3
