Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,392,98.2456,288.512,36064,+6.27347e+08ns,2.89961,OLSR,50,50,10,20,5,3
2,10.1.1.20,10.1.1.10,399,40,10.0251,29.44,3680,+9.78902e+07ns,1.8691,OLSR,50,50,10,20,5,3
3,10.1.1.11,10.1.1.1,399,399,100,293.664,36708,+1.92212e+08ns,2.95139,OLSR,50,50,10,20,5,3
4,10.1.1.16,10.1.1.6,399,327,81.9549,240.672,30084,+6.02759e+08ns,2.41879,OLSR,50,50,10,20,5,3
5,10.1.1.17,10.1.1.7,399,399,100,293.664,36708,+1.57611e+08ns,2.95139,OLSR,50,50,10,20,5,3
6,10.1.1.18,10.1.1.8,399,399,100,293.664,36708,+1.49968e+08ns,2.95139,OLSR,50,50,10,20,5,3
7,10.1.1.14,10.1.1.4,398,379,95.2261,278.944,34868,+2.14975e+08ns,2.81051,OLSR,50,50,10,20,5,3
8,10.1.1.12,10.1.1.2,396,343,86.6162,252.448,31556,+5.77365e+08ns,2.55641,OLSR,50,50,10,20,5,3
9,10.1.1.19,10.1.1.9,396,375,94.697,276,34500,+2.69081e+08ns,2.79493,OLSR,50,50,10,20,5,3
10,10.1.1.13,10.1.1.3,396,362,91.4141,266.432,33304,+7.30847e+09ns,2.69804,OLSR,50,50,10,20,5,3
