Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.18,10.1.1.8,48,3,6.25,2.208,276,+2.26412e+09ns,0.0303482,OLSR,50,50,10,5.5,5,3
2,10.1.1.19,10.1.1.9,72,9,12.5,6.624,828,+3.54804e+07ns,3.30085,OLSR,50,50,10,5.5,5,3
3,10.1.1.16,10.1.1.6,123,11,8.94309,8.096,1012,+2.97913e+07ns,3.23796,OLSR,50,50,10,5.5,5,3
4,10.1.1.14,10.1.1.4,152,37,24.3421,27.232,3404,+3.41053e+07ns,0.511396,OLSR,50,50,10,5.5,5,3
5,10.1.1.17,10.1.1.7,339,226,66.6667,166.336,20792,+2.97061e+08ns,1.98018,OLSR,50,50,10,5.5,5,3
6,10.1.1.11,10.1.1.1,120,25,20.8333,18.4,2300,+4.61102e+07ns,0.26192,OLSR,50,50,10,5.5,5,3
7,10.1.1.20,10.1.1.10,136,40,29.4118,29.44,3680,+7.72256e+07ns,1.35354,OLSR,50,50,10,5.5,5,3
8,10.1.1.13,10.1.1.3,98,49,50,36.064,4508,+6.32272e+07ns,2.18565,OLSR,50,50,10,5.5,5,3
