Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.13,10.1.1.3,399,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
2,10.1.1.14,10.1.1.4,399,224,56.1404,164.864,20608,+1.82893e+10ns,1.65692,AODV,80,25,10,7.5,14,3
3,10.1.1.23,10.1.1.16,19,19,100,7.168,896,+4.8543e+07ns,0.203265,AODV,80,25,10,7.5,14,3
4,10.1.1.23,10.1.1.4,31,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
5,10.1.1.3,10.1.1.16,11,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
6,10.1.1.3,10.1.1.4,8,8,100,3.072,384,+6.55898e+07ns,0.0314184,AODV,80,25,10,7.5,14,3
7,10.1.1.43,10.1.1.16,62,61,98.3871,22.768,2846,+1.8781e+08ns,0.259451,AODV,80,25,10,7.5,14,3
8,10.1.1.43,10.1.1.4,3,2,66.6667,0.768,96,+1.0161e+09ns,0.284826,AODV,80,25,10,7.5,14,3
9,10.1.1.19,10.1.1.57,3,3,100,0.864,108,+5.09464e+06ns,0.175268,AODV,80,25,10,7.5,14,3
10,10.1.1.19,10.1.1.4,27,26,96.2963,9.424,1178,+1.56648e+09ns,0.236374,AODV,80,25,10,7.5,14,3
11,10.1.1.16,10.1.1.23,1,1,100,0.24,30,+1.84687e+07ns,12.995,AODV,80,25,10,7.5,14,3
12,10.1.1.16,10.1.1.33,6,6,100,2.304,288,+2.0079e+09ns,0.230889,AODV,80,25,10,7.5,14,3
13,10.1.1.51,10.1.1.64,3,3,100,1.008,126,+2.50877e+09ns,0.087637,AODV,80,25,10,7.5,14,3
14,10.1.1.51,10.1.1.4,2,2,100,0.768,96,+1.1274e+07ns,0.279503,AODV,80,25,10,7.5,14,3
15,10.1.1.57,10.1.1.19,10,7,70,2.544,318,+3.06606e+09ns,0.442909,AODV,80,25,10,7.5,14,3
16,10.1.1.57,10.1.1.24,3,3,100,0.864,108,+1.35431e+07ns,0.0575219,AODV,80,25,10,7.5,14,3
17,10.1.1.62,10.1.1.44,12,12,100,4.112,514,+1.08973e+09ns,0.0446028,AODV,80,25,10,7.5,14,3
18,10.1.1.62,10.1.1.4,18,17,94.4444,6.528,816,+5.36478e+08ns,0.0858926,AODV,80,25,10,7.5,14,3
19,10.1.1.31,10.1.1.44,17,15,88.2353,5.488,686,+4.66149e+08ns,0.0649925,AODV,80,25,10,7.5,14,3
20,10.1.1.31,10.1.1.4,9,8,88.8889,3.072,384,+2.05554e+09ns,0.0363898,AODV,80,25,10,7.5,14,3
21,10.1.1.24,10.1.1.14,18,18,100,6.912,864,+2.89098e+07ns,1.02996,AODV,80,25,10,7.5,14,3
22,10.1.1.44,10.1.1.31,4,4,100,1.392,174,+2.99024e+07ns,0.0175273,AODV,80,25,10,7.5,14,3
23,10.1.1.44,10.1.1.33,8,8,100,2.88,360,+1.79124e+07ns,0.138015,AODV,80,25,10,7.5,14,3
24,10.1.1.16,10.1.1.43,11,11,100,4.08,510,+5.11065e+07ns,0.10258,AODV,80,25,10,7.5,14,3
25,10.1.1.33,10.1.1.14,8,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
26,10.1.1.16,10.1.1.6,399,345,86.4662,253.92,31740,+7.97647e+09ns,2.58442,AODV,80,25,10,7.5,14,3
27,10.1.1.1,10.1.1.16,15,15,100,5.488,686,+3.23341e+07ns,0.455099,AODV,80,25,10,7.5,14,3
28,10.1.1.1,10.1.1.6,1,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
29,10.1.1.61,10.1.1.16,2,2,100,0.704,88,+6.95334e+06ns,0.767837,AODV,80,25,10,7.5,14,3
30,10.1.1.61,10.1.1.6,4,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
31,10.1.1.5,10.1.1.16,1,1,100,0.384,48,+1.31573e+06ns,291.854,AODV,80,25,10,7.5,14,3
32,10.1.1.5,10.1.1.6,6,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
33,10.1.1.26,10.1.1.16,19,19,100,6.944,868,+5.51142e+07ns,0.292765,AODV,80,25,10,7.5,14,3
34,10.1.1.26,10.1.1.6,1,1,100,0.384,48,+3.59264e+07ns,10.6885,AODV,80,25,10,7.5,14,3
35,10.1.1.16,10.1.1.5,3,2,66.6667,0.624,78,+1.57991e+07ns,0.417647,AODV,80,25,10,7.5,14,3
36,10.1.1.78,10.1.1.24,6,6,100,2.032,254,+1.68605e+07ns,0.0919523,AODV,80,25,10,7.5,14,3
37,10.1.1.78,10.1.1.6,5,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
38,10.1.1.34,10.1.1.24,2,2,100,0.704,88,+1.00292e+09ns,0.264582,AODV,80,25,10,7.5,14,3
39,10.1.1.34,10.1.1.6,1,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
40,10.1.1.24,10.1.1.78,8,8,100,2.992,374,+9.39612e+08ns,0.12935,AODV,80,25,10,7.5,14,3
41,10.1.1.24,10.1.1.64,3,1,33.3333,0.384,48,+8.89548e+06ns,43.168,AODV,80,25,10,7.5,14,3
42,10.1.1.16,10.1.1.61,3,3,100,1.008,126,+3.79866e+07ns,0.0895796,AODV,80,25,10,7.5,14,3
43,10.1.1.16,10.1.1.1,10,9,90,3.312,414,+1.09959e+08ns,0.276461,AODV,80,25,10,7.5,14,3
44,10.1.1.64,10.1.1.16,2,1,50,0.384,48,+6.40628e+06ns,59.9412,AODV,80,25,10,7.5,14,3
45,10.1.1.16,10.1.1.26,17,17,100,6.112,764,+3.18648e+09ns,0.445852,AODV,80,25,10,7.5,14,3
46,10.1.1.20,10.1.1.10,398,178,44.7236,131.008,16376,+1.4477e+10ns,1.43172,AODV,80,25,10,7.5,14,3
47,10.1.1.7,10.1.1.20,30,30,100,11.328,1416,+1.30474e+08ns,0.203965,AODV,80,25,10,7.5,14,3
48,10.1.1.7,10.1.1.10,3,3,100,1.152,144,+1.01582e+09ns,0.148522,AODV,80,25,10,7.5,14,3
49,10.1.1.24,10.1.1.20,6,5,83.3333,1.856,232,+8.80939e+08ns,0.0915374,AODV,80,25,10,7.5,14,3
50,10.1.1.24,10.1.1.10,7,5,71.4286,1.92,240,+9.23953e+08ns,0.0597421,AODV,80,25,10,7.5,14,3
51,10.1.1.14,10.1.1.20,1,1,100,0.384,48,+8.65611e+08ns,0.443617,AODV,80,25,10,7.5,14,3
52,10.1.1.14,10.1.1.10,6,5,83.3333,1.92,240,+8.66357e+08ns,0.032273,AODV,80,25,10,7.5,14,3
53,10.1.1.73,10.1.1.17,10,10,100,3.776,472,+1.11821e+08ns,0.348517,AODV,80,25,10,7.5,14,3
54,10.1.1.73,10.1.1.3,4,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
55,10.1.1.50,10.1.1.17,26,25,96.1538,9.264,1158,+1.47466e+08ns,0.267654,AODV,80,25,10,7.5,14,3
56,10.1.1.50,10.1.1.3,22,21,95.4545,7.44,930,+1.09635e+08ns,0.216576,AODV,80,25,10,7.5,14,3
57,10.1.1.25,10.1.1.17,5,3,60,1.088,136,+1.24542e+07ns,0.822066,AODV,80,25,10,7.5,14,3
58,10.1.1.25,10.1.1.3,1,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
59,10.1.1.36,10.1.1.17,17,16,94.1176,5.504,688,+2.66366e+09ns,0.0570521,AODV,80,25,10,7.5,14,3
60,10.1.1.36,10.1.1.3,2,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
61,10.1.1.4,10.1.1.17,14,10,71.4286,3.776,472,+2.36582e+09ns,0.0420384,AODV,80,25,10,7.5,14,3
62,10.1.1.4,10.1.1.3,5,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
63,10.1.1.17,10.1.1.73,10,10,100,2.688,336,+1.50608e+08ns,0.247811,AODV,80,25,10,7.5,14,3
64,10.1.1.17,10.1.1.46,16,16,100,5.856,732,+6.80637e+07ns,0.140239,AODV,80,25,10,7.5,14,3
65,10.1.1.20,10.1.1.7,61,60,98.3607,22.864,2858,+2.29393e+08ns,0.316318,AODV,80,25,10,7.5,14,3
66,10.1.1.27,10.1.1.38,1,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
67,10.1.1.27,10.1.1.3,21,19,90.4762,7.088,886,+1.81283e+08ns,0.177167,AODV,80,25,10,7.5,14,3
68,10.1.1.46,10.1.1.13,6,6,100,2.304,288,+1.40102e+08ns,1.31649,AODV,80,25,10,7.5,14,3
69,10.1.1.17,10.1.1.25,2,2,100,0.48,60,+1.18839e+07ns,32.5628,AODV,80,25,10,7.5,14,3
70,10.1.1.17,10.1.1.50,10,9,90,3.04,380,+7.24972e+07ns,0.378368,AODV,80,25,10,7.5,14,3
71,10.1.1.45,10.1.1.17,34,34,100,12.32,1540,+2.29125e+08ns,0.125059,AODV,80,25,10,7.5,14,3
72,10.1.1.45,10.1.1.50,19,18,94.7368,6.976,872,+1.07218e+08ns,0.135921,AODV,80,25,10,7.5,14,3
73,10.1.1.37,10.1.1.17,8,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
74,10.1.1.37,10.1.1.50,9,9,100,3.456,432,+2.09145e+09ns,0.0991027,AODV,80,25,10,7.5,14,3
75,10.1.1.73,10.1.1.50,1,1,100,0.384,48,+5.6283e+06ns,68.2266,AODV,80,25,10,7.5,14,3
76,10.1.1.60,10.1.1.17,7,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
77,10.1.1.60,10.1.1.50,1,1,100,0.384,48,+9.36893e+06ns,40.9866,AODV,80,25,10,7.5,14,3
78,10.1.1.70,10.1.1.17,50,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,14,3
79,10.1.1.70,10.1.1.50,14,14,100,5.312,664,+1.071e+08ns,0.103863,AODV,80,25,10,7.5,14,3
80,10.1.1.25,10.1.1.50,1,1,100,0.384,48,+9.85621e+08ns,0.389602,AODV,80,25,10,7.5,14,3
81,10.1.1.36,10.1.1.50,6,5,83.3333,1.92,240,+9.56561e+07ns,0.239374,AODV,80,25,10,7.5,14,3
82,10.1.1.4,10.1.1.50,7,7,100,2.688,336,+1.14225e+09ns,0.194126,AODV,80,25,10,7.5,14,3
83,10.1.1.27,10.1.1.29,6,5,83.3333,1.92,240,+1.58341e+07ns,0.293147,AODV,80,25,10,7.5,14,3
84,10.1.1.27,10.1.1.50,7,7,100,2.608,326,+1.04204e+09ns,0.0577446,AODV,80,25,10,7.5,14,3
85,10.1.1.62,10.1.1.29,10,9,90,3.024,378,+1.89217e+09ns,0.0313531,AODV,80,25,10,7.5,14,3
86,10.1.1.62,10.1.1.50,18,18,100,6.688,836,+6.38463e+08ns,0.20892,AODV,80,25,10,7.5,14,3
87,10.1.1.29,10.1.1.27,1,1,100,0.24,30,+9.16786e+06ns,26.1784,AODV,80,25,10,7.5,14,3
