Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.18,10.1.1.8,399,78,19.5489,57.408,7176,+6.12789e+09ns,0.579753,AODV,80,25,10,7.5,17,3
2,10.1.1.16,10.1.1.6,399,263,65.9148,193.568,24196,+1.70984e+09ns,1.94539,AODV,80,25,10,7.5,17,3
3,10.1.1.1,10.1.1.16,11,11,100,4.16,520,+6.83592e+06ns,0.38596,AODV,80,25,10,7.5,17,3
4,10.1.1.1,10.1.1.6,1,1,100,0.384,48,+1.43526e+07ns,26.7547,AODV,80,25,10,7.5,17,3
5,10.1.1.61,10.1.1.16,14,14,100,5.376,672,+2.03845e+08ns,0.49219,AODV,80,25,10,7.5,17,3
6,10.1.1.61,10.1.1.6,11,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,17,3
7,10.1.1.26,10.1.1.16,5,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,17,3
8,10.1.1.26,10.1.1.6,2,2,100,0.768,96,+7.06576e+06ns,1.51503,AODV,80,25,10,7.5,17,3
9,10.1.1.16,10.1.1.1,7,7,100,2.8,350,+2.45666e+07ns,0.268966,AODV,80,25,10,7.5,17,3
10,10.1.1.16,10.1.1.61,7,7,100,2.256,282,+1.80925e+07ns,0.0241767,AODV,80,25,10,7.5,17,3
11,10.1.1.12,10.1.1.2,399,9,2.25564,6.624,828,+1.93772e+09ns,0.0697232,AODV,80,25,10,7.5,17,3
12,10.1.1.78,10.1.1.7,4,4,100,1.536,192,+1.62638e+07ns,0.245428,AODV,80,25,10,7.5,17,3
13,10.1.1.78,10.1.1.6,6,5,83.3333,1.632,204,+1.95532e+07ns,0.157028,AODV,80,25,10,7.5,17,3
14,10.1.1.34,10.1.1.7,22,22,100,8.096,1012,+1.41274e+08ns,0.246084,AODV,80,25,10,7.5,17,3
15,10.1.1.34,10.1.1.6,7,7,100,2.688,336,+3.4562e+07ns,1.13842,AODV,80,25,10,7.5,17,3
16,10.1.1.7,10.1.1.34,14,14,100,5.088,636,+3.19669e+07ns,0.154688,AODV,80,25,10,7.5,17,3
17,10.1.1.7,10.1.1.5,7,7,100,2.752,344,+4.46321e+07ns,0.0305856,AODV,80,25,10,7.5,17,3
18,10.1.1.7,10.1.1.78,2,2,100,0.624,78,+6.49235e+06ns,0.268121,AODV,80,25,10,7.5,17,3
19,10.1.1.5,10.1.1.16,3,3,100,1.152,144,+1.43559e+07ns,2.45803,AODV,80,25,10,7.5,17,3
20,10.1.1.13,10.1.1.3,399,169,42.3559,124.384,15548,+5.07069e+10ns,1.25007,AODV,80,25,10,7.5,17,3
21,10.1.1.20,10.1.1.10,398,79,19.8492,58.144,7268,+2.24289e+08ns,1.4813,AODV,80,25,10,7.5,17,3
22,10.1.1.7,10.1.1.20,37,37,100,13.744,1718,+1.6527e+08ns,0.213483,AODV,80,25,10,7.5,17,3
23,10.1.1.7,10.1.1.10,13,13,100,4.992,624,+6.01018e+07ns,0.30114,AODV,80,25,10,7.5,17,3
24,10.1.1.24,10.1.1.20,20,19,95,7.088,886,+1.10604e+09ns,0.321646,AODV,80,25,10,7.5,17,3
25,10.1.1.24,10.1.1.10,6,5,83.3333,1.92,240,+7.99062e+07ns,0.0689578,AODV,80,25,10,7.5,17,3
26,10.1.1.14,10.1.1.20,1,0,0,0,0,+0ns,-0,AODV,80,25,10,7.5,17,3
27,10.1.1.14,10.1.1.10,1,1,100,0.384,48,+6.75159e+06ns,56.8755,AODV,80,25,10,7.5,17,3
