Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.19,10.1.1.9,302,107,35.4305,78.752,9844,+2.22514e+08ns,1.8208,OLSR,80,25,10,7.5,15,3
2,10.1.1.11,10.1.1.1,256,2,0.78125,1.472,184,+3.54634e+07ns,0.0684524,OLSR,80,25,10,7.5,15,3
3,10.1.1.14,10.1.1.4,230,96,41.7391,70.656,8832,+8.94899e+08ns,0.711897,OLSR,80,25,10,7.5,15,3
4,10.1.1.18,10.1.1.8,132,7,5.30303,5.152,644,+8.00714e+07ns,0.0549389,OLSR,80,25,10,7.5,15,3
5,10.1.1.13,10.1.1.3,158,12,7.59494,8.832,1104,+7.14374e+07ns,0.578711,OLSR,80,25,10,7.5,15,3
6,10.1.1.17,10.1.1.7,368,140,38.0435,103.04,12880,+2.54374e+08ns,1.87341,OLSR,80,25,10,7.5,15,3
7,10.1.1.16,10.1.1.6,396,260,65.6566,191.36,23920,+4.26379e+08ns,1.96266,OLSR,80,25,10,7.5,15,3
8,10.1.1.20,10.1.1.10,313,65,20.7668,47.84,5980,+2.41359e+09ns,0.750402,OLSR,80,25,10,7.5,15,3
9,10.1.1.15,10.1.1.5,395,341,86.3291,250.976,31372,+4.57424e+08ns,2.54797,OLSR,80,25,10,7.5,15,3
