Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,380,347,91.3158,255.392,31924,+2.10365e+09ns,2.56675,OLSR,80,25,10,7.5,28,3
2,10.1.1.16,10.1.1.6,399,264,66.1654,194.304,24288,+2.68032e+09ns,1.97764,OLSR,80,25,10,7.5,28,3
3,10.1.1.13,10.1.1.3,182,11,6.04396,8.096,1012,+3.38091e+09ns,1.07918,OLSR,80,25,10,7.5,28,3
4,10.1.1.18,10.1.1.8,198,4,2.0202,2.944,368,+3.11076e+07ns,0.0305866,OLSR,80,25,10,7.5,28,3
5,10.1.1.19,10.1.1.9,333,113,33.9339,83.168,10396,+4.28991e+08ns,0.928697,OLSR,80,25,10,7.5,28,3
6,10.1.1.14,10.1.1.4,257,95,36.965,69.92,8740,+2.4236e+09ns,0.708048,OLSR,80,25,10,7.5,28,3
7,10.1.1.20,10.1.1.10,197,56,28.4264,41.216,5152,+2.38435e+09ns,1.29808,OLSR,80,25,10,7.5,28,3
8,10.1.1.11,10.1.1.1,241,9,3.73444,6.624,828,+9.22105e+07ns,0.153085,OLSR,80,25,10,7.5,28,3
9,10.1.1.17,10.1.1.7,324,140,43.2099,103.04,12880,+5.77395e+09ns,2.04036,OLSR,80,25,10,7.5,28,3
