Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.13,10.1.1.3,178,13,7.30337,9.568,1196,+5.88077e+07ns,0.31614,OLSR,80,25,10,7.5,22,3
2,10.1.1.14,10.1.1.4,195,94,48.2051,69.184,8648,+1.15331e+08ns,0.695314,OLSR,80,25,10,7.5,22,3
3,10.1.1.20,10.1.1.10,218,55,25.2294,40.48,5060,+2.26412e+09ns,1.70426,OLSR,80,25,10,7.5,22,3
4,10.1.1.18,10.1.1.8,104,13,12.5,9.568,1196,+1.57933e+09ns,0.0994063,OLSR,80,25,10,7.5,22,3
5,10.1.1.11,10.1.1.1,276,20,7.24638,14.72,1840,+8.94159e+07ns,0.511955,OLSR,80,25,10,7.5,22,3
6,10.1.1.17,10.1.1.7,293,136,46.4164,100.096,12512,+3.23788e+09ns,1.81165,OLSR,80,25,10,7.5,22,3
7,10.1.1.19,10.1.1.9,355,113,31.831,83.168,10396,+3.11852e+09ns,1.20071,OLSR,80,25,10,7.5,22,3
8,10.1.1.15,10.1.1.5,397,98,24.6851,72.128,9016,+3.96187e+08ns,1.66734,OLSR,80,25,10,7.5,22,3
9,10.1.1.16,10.1.1.6,396,250,63.1313,184,23000,+1.93152e+09ns,1.88717,OLSR,80,25,10,7.5,22,3
