Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.14,10.1.1.4,399,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,40,3
2,10.1.1.12,10.1.1.2,399,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,40,3
3,10.1.1.20,10.1.1.10,399,239,59.8997,175.904,21988,+3.56257e+10ns,2.54932,AODV,20,25,10,7.5,40,3
4,10.1.1.1,10.1.1.20,5,5,100,1.632,204,+3.62178e+07ns,0.0914497,AODV,20,25,10,7.5,40,3
5,10.1.1.1,10.1.1.10,2,2,100,0.768,96,+1.13616e+07ns,1.02317,AODV,20,25,10,7.5,40,3
6,10.1.1.20,10.1.1.1,3,3,100,1.008,126,+5.23123e+06ns,0.0771259,AODV,20,25,10,7.5,40,3
7,10.1.1.19,10.1.1.9,399,238,59.6491,175.168,21896,+1.6255e+10ns,1.76047,AODV,20,25,10,7.5,40,3
8,10.1.1.7,10.1.1.1,11,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,40,3
9,10.1.1.7,10.1.1.9,3,3,100,1.008,126,+1.08635e+07ns,0.79708,AODV,20,25,10,7.5,40,3
10,10.1.1.3,10.1.1.1,7,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,40,3
11,10.1.1.3,10.1.1.9,8,7,87.5,2.48,310,+1.5793e+09ns,0.195213,AODV,20,25,10,7.5,40,3
12,10.1.1.20,10.1.1.9,7,6,85.7143,2.368,296,+2.21776e+07ns,0.088549,AODV,20,25,10,7.5,40,3
13,10.1.1.1,10.1.1.2,4,4,100,1.392,174,+1.24825e+07ns,0.078529,AODV,20,25,10,7.5,40,3
14,10.1.1.2,10.1.1.19,8,8,100,2.736,342,+8.69438e+06ns,0.126067,AODV,20,25,10,7.5,40,3
15,10.1.1.16,10.1.1.6,399,206,51.6291,151.616,18952,+3.32606e+10ns,1.82119,AODV,20,25,10,7.5,40,3
16,10.1.1.11,10.1.1.1,398,6,1.50754,4.416,552,+3.02459e+09ns,0.132798,AODV,20,25,10,7.5,40,3
17,10.1.1.15,10.1.1.5,397,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,40,3
18,10.1.1.13,10.1.1.3,397,350,88.1612,257.6,32200,+3.61822e+10ns,2.60201,AODV,20,25,10,7.5,40,3
19,10.1.1.1,10.1.1.13,10,10,100,3.712,464,+2.70054e+07ns,0.102961,AODV,20,25,10,7.5,40,3
20,10.1.1.1,10.1.1.3,1,1,100,0.384,48,+4.71627e+06ns,81.4202,AODV,20,25,10,7.5,40,3
21,10.1.1.13,10.1.1.1,2,2,100,0.48,60,+3.14524e+06ns,0.0278032,AODV,20,25,10,7.5,40,3
22,10.1.1.17,10.1.1.7,397,199,50.1259,146.464,18308,+4.21307e+10ns,1.47942,AODV,20,25,10,7.5,40,3
23,10.1.1.18,10.1.1.8,397,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,40,3
24,10.1.1.1,10.1.1.7,1,1,100,0.384,48,+2.57616e+06ns,149.059,AODV,20,25,10,7.5,40,3
25,10.1.1.7,10.1.1.20,5,5,100,1.776,222,+6.35034e+06ns,0.0267521,AODV,20,25,10,7.5,40,3
26,10.1.1.17,10.1.1.3,1,1,100,0.384,48,+1.10827e+07ns,34.6487,AODV,20,25,10,7.5,40,3
27,10.1.1.17,10.1.1.6,3,3,100,1.152,144,+5.28239e+06ns,1.02793,AODV,20,25,10,7.5,40,3
28,10.1.1.9,10.1.1.3,2,2,100,0.624,78,+1.22277e+07ns,0.0537559,AODV,20,25,10,7.5,40,3
29,10.1.1.9,10.1.1.6,5,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,40,3
30,10.1.1.8,10.1.1.3,2,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,40,3
31,10.1.1.8,10.1.1.6,5,5,100,1.792,224,+9.44091e+06ns,0.179893,AODV,20,25,10,7.5,40,3
32,10.1.1.3,10.1.1.17,2,2,100,0.624,78,+5.67915e+06ns,0.469041,AODV,20,25,10,7.5,40,3
33,10.1.1.17,10.1.1.7,1,1,100,0.384,48,+304440ns,1261.33,AODV,20,25,10,7.5,40,3
34,10.1.1.9,10.1.1.7,1,1,100,0.384,48,+6.90409e+06ns,55.6192,AODV,20,25,10,7.5,40,3
