Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.16,10.1.1.6,399,175,43.8596,128.8,16100,+1.11291e+10ns,1.51081,AODV,20,25,10,7.5,30,3
2,10.1.1.13,10.1.1.3,399,353,88.4712,259.808,32476,+5.53774e+09ns,2.61113,AODV,20,25,10,7.5,30,3
3,10.1.1.1,10.1.1.13,10,10,100,3.776,472,+1.48875e+07ns,1.0766,AODV,20,25,10,7.5,30,3
4,10.1.1.1,10.1.1.3,4,4,100,1.248,156,+1.013e+07ns,0.425888,AODV,20,25,10,7.5,30,3
5,10.1.1.11,10.1.1.1,398,11,2.76382,8.096,1012,+3.11897e+09ns,0.232954,AODV,20,25,10,7.5,30,3
6,10.1.1.13,10.1.1.1,4,3,75,1.008,126,+7.23701e+06ns,0.029626,AODV,20,25,10,7.5,30,3
7,10.1.1.14,10.1.1.4,398,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,30,3
8,10.1.1.15,10.1.1.5,398,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,30,3
9,10.1.1.12,10.1.1.2,398,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,30,3
10,10.1.1.18,10.1.1.8,397,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,30,3
11,10.1.1.20,10.1.1.7,8,4,50,1.536,192,+1.73118e+07ns,0.02132,AODV,20,25,10,7.5,30,3
12,10.1.1.20,10.1.1.6,8,8,100,2.928,366,+1.85377e+07ns,0.0420808,AODV,20,25,10,7.5,30,3
13,10.1.1.17,10.1.1.7,5,2,40,0.768,96,+9.576e+06ns,1.24871,AODV,20,25,10,7.5,30,3
14,10.1.1.17,10.1.1.6,3,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,30,3
15,10.1.1.9,10.1.1.7,4,2,50,0.768,96,+1.52275e+07ns,1.24053,AODV,20,25,10,7.5,30,3
16,10.1.1.9,10.1.1.6,6,6,100,2.16,270,+1.94575e+07ns,0.0251652,AODV,20,25,10,7.5,30,3
17,10.1.1.8,10.1.1.7,1,1,100,0.384,48,+3.20574e+06ns,119.785,AODV,20,25,10,7.5,30,3
18,10.1.1.8,10.1.1.6,5,3,60,1.008,126,+1.01029e+09ns,0.0542633,AODV,20,25,10,7.5,30,3
19,10.1.1.7,10.1.1.8,1,1,100,0.24,30,+1.20065e+07ns,19.9891,AODV,20,25,10,7.5,30,3
20,10.1.1.7,10.1.1.1,16,15,93.75,5.552,694,+6.38275e+07ns,0.911477,AODV,20,25,10,7.5,30,3
21,10.1.1.7,10.1.1.17,2,2,100,0.48,60,+1.25958e+07ns,0.786884,AODV,20,25,10,7.5,30,3
22,10.1.1.7,10.1.1.9,3,3,100,0.864,108,+1.27959e+07ns,1.40982,AODV,20,25,10,7.5,30,3
23,10.1.1.7,10.1.1.20,6,6,100,1.872,234,+2.06805e+07ns,0.608156,AODV,20,25,10,7.5,30,3
24,10.1.1.13,10.1.1.19,9,9,100,3.248,406,+1.731e+07ns,0.169714,AODV,20,25,10,7.5,30,3
25,10.1.1.19,10.1.1.16,10,9,90,3.328,416,+1.69319e+07ns,0.0560982,AODV,20,25,10,7.5,30,3
26,10.1.1.19,10.1.1.9,396,85,21.4646,62.56,7820,+5.90286e+09ns,1.6908,AODV,20,25,10,7.5,30,3
27,10.1.1.17,10.1.1.7,396,285,71.9697,209.76,26220,+1.15579e+10ns,2.12413,AODV,20,25,10,7.5,30,3
28,10.1.1.20,10.1.1.10,396,291,73.4848,214.176,26772,+5.67773e+10ns,2.79959,AODV,20,25,10,7.5,30,3
29,10.1.1.1,10.1.1.7,3,3,100,0.864,108,+1.45109e+06ns,0.303863,AODV,20,25,10,7.5,30,3
30,10.1.1.1,10.1.1.10,6,6,100,2.176,272,+7.30381e+06ns,0.361408,AODV,20,25,10,7.5,30,3
31,10.1.1.3,10.1.1.1,4,3,75,1.152,144,+1.15963e+09ns,0.97495,AODV,20,25,10,7.5,30,3
32,10.1.1.3,10.1.1.9,4,3,75,1.152,144,+6.19758e+06ns,0.144323,AODV,20,25,10,7.5,30,3
33,10.1.1.1,10.1.1.2,5,5,100,1.856,232,+1.10135e+07ns,1.84391,AODV,20,25,10,7.5,30,3
34,10.1.1.2,10.1.1.19,10,9,90,3.264,408,+1.34997e+07ns,0.167381,AODV,20,25,10,7.5,30,3
35,10.1.1.8,10.1.1.3,2,0,0,0,0,+0ns,-0,AODV,20,25,10,7.5,30,3
36,10.1.1.6,10.1.1.3,1,1,100,0.384,48,+1.00176e+09ns,0.383325,AODV,20,25,10,7.5,30,3
37,10.1.1.3,10.1.1.17,2,2,100,0.768,96,+9.47992e+06ns,0.206614,AODV,20,25,10,7.5,30,3
38,10.1.1.3,10.1.1.7,14,14,100,5.312,664,+2.03813e+07ns,0.200324,AODV,20,25,10,7.5,30,3
39,10.1.1.20,10.1.1.9,4,4,100,1.472,184,+1.2702e+07ns,0.0626297,AODV,20,25,10,7.5,30,3
40,10.1.1.17,10.1.1.3,5,5,100,1.776,222,+9.05159e+06ns,0.35647,AODV,20,25,10,7.5,30,3
41,10.1.1.20,10.1.1.17,6,6,100,2.16,270,+3.10897e+07ns,0.0511159,AODV,20,25,10,7.5,30,3
