Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,380,95.2381,279.68,34960,+6.49153e+08ns,2.81083,OLSR,50,30,10,21.5,5,3
2,10.1.1.20,10.1.1.10,399,371,92.9825,273.056,34132,+2.66017e+09ns,2.74427,OLSR,50,30,10,21.5,5,3
3,10.1.1.11,10.1.1.1,399,380,95.2381,279.68,34960,+4.60627e+08ns,2.81084,OLSR,50,30,10,21.5,5,3
4,10.1.1.16,10.1.1.6,399,215,53.8847,158.24,19780,+2.40525e+09ns,2.73988,OLSR,50,30,10,21.5,5,3
5,10.1.1.17,10.1.1.7,399,386,96.7419,284.096,35512,+1.4466e+08ns,2.85523,OLSR,50,30,10,21.5,5,3
6,10.1.1.18,10.1.1.8,399,399,100,293.664,36708,+1.47467e+08ns,2.95139,OLSR,50,30,10,21.5,5,3
7,10.1.1.14,10.1.1.4,398,381,95.7286,280.416,35052,+4.23108e+08ns,2.82534,OLSR,50,30,10,21.5,5,3
8,10.1.1.12,10.1.1.2,396,373,94.1919,274.528,34316,+3.92461e+08ns,2.78001,OLSR,50,30,10,21.5,5,3
9,10.1.1.19,10.1.1.9,396,396,100,291.456,36432,+1.43246e+08ns,2.95144,OLSR,50,30,10,21.5,5,3
10,10.1.1.13,10.1.1.3,396,375,94.697,276,34500,+6.0603e+08ns,2.79491,OLSR,50,30,10,21.5,5,3
