Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,54,0,0,0,0,+0ns,-0,OLSR,50,30,10,9,5,3
2,10.1.1.11,10.1.1.1,127,6,4.72441,4.416,552,+1.21709e+07ns,0.0443818,OLSR,50,30,10,9,5,3
3,10.1.1.16,10.1.1.6,143,71,49.6503,52.256,6532,+1.12336e+09ns,0.52917,OLSR,50,30,10,9,5,3
4,10.1.1.17,10.1.1.7,323,160,49.5356,117.76,14720,+5.00281e+09ns,1.18351,OLSR,50,30,10,9,5,3
5,10.1.1.18,10.1.1.8,302,138,45.6954,101.568,12696,+1.25687e+09ns,1.5932,OLSR,50,30,10,9,5,3
6,10.1.1.14,10.1.1.4,277,124,44.7653,91.264,11408,+5.40428e+09ns,0.919533,OLSR,50,30,10,9,5,3
7,10.1.1.12,10.1.1.2,218,86,39.4495,63.296,7912,+8.87211e+07ns,2.97859,OLSR,50,30,10,9,5,3
8,10.1.1.19,10.1.1.9,396,242,61.1111,178.112,22264,+1.99282e+08ns,2.13946,OLSR,50,30,10,9,5,3
9,10.1.1.13,10.1.1.3,99,6,6.06061,4.416,552,+4.34726e+07ns,0.223548,OLSR,50,30,10,9,5,3
10,10.1.1.20,10.1.1.10,142,42,29.5775,30.912,3864,+5.4076e+07ns,2.63073,OLSR,50,30,10,9,5,3
