Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,397,99.4987,292.192,36524,+3.86156e+09ns,2.93655,AODV,50,10,10,19.5,5,3
2,10.1.1.20,10.1.1.10,399,391,97.995,287.776,35972,+7.13727e+09ns,2.88791,AODV,50,10,10,19.5,5,3
3,10.1.1.11,10.1.1.1,399,57,14.2857,41.952,5244,+2.44845e+09ns,0.425905,AODV,50,10,10,19.5,5,3
4,10.1.1.19,10.1.1.11,13,13,100,4.448,556,+9.8877e+07ns,0.0450584,AODV,50,10,10,19.5,5,3
5,10.1.1.19,10.1.1.1,4,0,0,0,0,+0ns,-0,AODV,50,10,10,19.5,5,3
6,10.1.1.5,10.1.1.11,6,6,100,2.112,264,+3.93124e+07ns,0.0212447,AODV,50,10,10,19.5,5,3
7,10.1.1.5,10.1.1.1,1,0,0,0,0,+0ns,-0,AODV,50,10,10,19.5,5,3
8,10.1.1.4,10.1.1.11,8,8,100,2.784,348,+2.07136e+09ns,0.138746,AODV,50,10,10,19.5,5,3
9,10.1.1.4,10.1.1.1,9,0,0,0,0,+0ns,-0,AODV,50,10,10,19.5,5,3
10,10.1.1.33,10.1.1.11,13,0,0,0,0,+0ns,-0,AODV,50,10,10,19.5,5,3
11,10.1.1.33,10.1.1.1,4,2,50,0.768,96,+1.33329e+08ns,0.00777224,AODV,50,10,10,19.5,5,3
12,10.1.1.30,10.1.1.11,8,0,0,0,0,+0ns,-0,AODV,50,10,10,19.5,5,3
13,10.1.1.30,10.1.1.1,4,4,100,1.472,184,+1.17891e+08ns,0.0813183,AODV,50,10,10,19.5,5,3
14,10.1.1.31,10.1.1.11,7,0,0,0,0,+0ns,-0,AODV,50,10,10,19.5,5,3
15,10.1.1.31,10.1.1.1,10,9,90,3.168,396,+3.43167e+08ns,0.0342573,AODV,50,10,10,19.5,5,3
