Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,377,94.4862,277.472,34684,+7.18984e+08ns,2.78865,AODV,50,10,10,13,5,3
2,10.1.1.50,10.1.1.15,10,0,0,0,0,+0ns,-0,AODV,50,10,10,13,5,3
3,10.1.1.50,10.1.1.5,6,6,100,2.304,288,+1.01619e+09ns,0.0892317,AODV,50,10,10,13,5,3
4,10.1.1.43,10.1.1.15,9,9,100,3.456,432,+1.03374e+09ns,0.0771067,AODV,50,10,10,13,5,3
5,10.1.1.43,10.1.1.5,6,0,0,0,0,+0ns,-0,AODV,50,10,10,13,5,3
6,10.1.1.48,10.1.1.15,24,23,95.8333,8.304,1038,+6.05315e+09ns,0.107928,AODV,50,10,10,13,5,3
7,10.1.1.48,10.1.1.5,10,10,100,3.776,472,+1.8036e+08ns,0.115936,AODV,50,10,10,13,5,3
8,10.1.1.24,10.1.1.15,12,12,100,4.416,552,+5.63766e+07ns,0.0481132,AODV,50,10,10,13,5,3
9,10.1.1.24,10.1.1.5,31,31,100,11.584,1448,+2.38474e+08ns,0.247205,AODV,50,10,10,13,5,3
10,10.1.1.21,10.1.1.15,11,11,100,4.16,520,+4.14783e+07ns,0.0464981,AODV,50,10,10,13,5,3
11,10.1.1.21,10.1.1.5,7,0,0,0,0,+0ns,-0,AODV,50,10,10,13,5,3
12,10.1.1.45,10.1.1.15,16,15,93.75,5.472,684,+6.32383e+09ns,0.0603582,AODV,50,10,10,13,5,3
13,10.1.1.45,10.1.1.5,16,16,100,6.08,760,+1.30823e+08ns,0.168637,AODV,50,10,10,13,5,3
14,10.1.1.19,10.1.1.15,8,1,12.5,0.384,48,+2.6812e+06ns,0.0044409,AODV,50,10,10,13,5,3
15,10.1.1.19,10.1.1.5,22,22,100,8.224,1028,+2.37077e+09ns,0.0931867,AODV,50,10,10,13,5,3
16,10.1.1.20,10.1.1.10,399,368,92.2306,270.848,33856,+9.75642e+09ns,2.84352,AODV,50,10,10,13,5,3
17,10.1.1.15,10.1.1.21,20,20,100,7.648,956,+3.7553e+08ns,0.0810339,AODV,50,10,10,13,5,3
18,10.1.1.15,10.1.1.24,10,10,100,3.696,462,+6.63569e+07ns,0.0396192,AODV,50,10,10,13,5,3
19,10.1.1.11,10.1.1.1,399,96,24.0602,70.656,8832,+1.54687e+09ns,0.755034,AODV,50,10,10,13,5,3
20,10.1.1.16,10.1.1.6,399,397,99.4987,292.192,36524,+5.48555e+09ns,2.93659,AODV,50,10,10,13,5,3
21,10.1.1.17,10.1.1.7,399,276,69.1729,203.136,25392,+2.92215e+09ns,2.04154,AODV,50,10,10,13,5,3
22,10.1.1.18,10.1.1.8,399,399,100,293.664,36708,+6.4828e+08ns,2.95139,AODV,50,10,10,13,5,3
23,10.1.1.47,10.1.1.39,29,27,93.1034,10.08,1260,+2.1768e+08ns,0.11011,AODV,50,10,10,13,5,3
