Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,385,96.4912,283.36,35420,+1.03349e+10ns,2.84783,AODV,50,70,10,21,5,3
2,10.1.1.20,10.1.1.10,399,388,97.2431,285.568,35696,+3.54156e+09ns,2.87725,AODV,50,70,10,21,5,3
3,10.1.1.37,10.1.1.20,9,9,100,3.104,388,+2.28102e+08ns,0.0431707,AODV,50,70,10,21,5,3
4,10.1.1.37,10.1.1.10,28,28,100,10.352,1294,+2.44902e+09ns,0.116882,AODV,50,70,10,21,5,3
5,10.1.1.46,10.1.1.20,9,8,88.8889,2.64,330,+6.23021e+09ns,0.0277556,AODV,50,70,10,21,5,3
6,10.1.1.46,10.1.1.10,24,23,95.8333,7.968,996,+1.89535e+09ns,0.0899325,AODV,50,70,10,21,5,3
7,10.1.1.5,10.1.1.20,6,6,100,1.872,234,+3.26546e+08ns,0.0213182,AODV,50,70,10,21,5,3
8,10.1.1.5,10.1.1.10,11,10,90.9091,3.408,426,+6.93255e+08ns,0.0384609,AODV,50,70,10,21,5,3
9,10.1.1.19,10.1.1.20,12,11,91.6667,3.44,430,+1.05028e+10ns,0.0391461,AODV,50,70,10,21,5,3
10,10.1.1.19,10.1.1.10,21,14,66.6667,4.944,618,+1.62234e+09ns,0.0556722,AODV,50,70,10,21,5,3
11,10.1.1.41,10.1.1.20,7,7,100,2.48,310,+2.412e+07ns,0.0312423,AODV,50,70,10,21,5,3
12,10.1.1.41,10.1.1.10,12,12,100,4.608,576,+2.75509e+09ns,0.0520229,AODV,50,70,10,21,5,3
13,10.1.1.28,10.1.1.20,6,5,83.3333,1.712,214,+2.88067e+09ns,0.0241508,AODV,50,70,10,21,5,3
14,10.1.1.28,10.1.1.10,10,6,60,2.16,270,+7.40873e+08ns,0.0245972,AODV,50,70,10,21,5,3
15,10.1.1.3,10.1.1.20,6,6,100,2.304,288,+1.72637e+08ns,0.0320161,AODV,50,70,10,21,5,3
16,10.1.1.3,10.1.1.10,14,11,78.5714,4.16,520,+8.8359e+08ns,0.0470167,AODV,50,70,10,21,5,3
17,10.1.1.31,10.1.1.20,9,8,88.8889,2.64,330,+4.44518e+09ns,0.0268313,AODV,50,70,10,21,5,3
18,10.1.1.31,10.1.1.10,18,13,72.2222,4.496,562,+2.47183e+09ns,0.0478822,AODV,50,70,10,21,5,3
19,10.1.1.10,10.1.1.20,15,15,100,5.472,684,+2.80012e+09ns,0.0549896,AODV,50,70,10,21,5,3
20,10.1.1.11,10.1.1.1,399,394,98.7469,289.984,36248,+9.97312e+09ns,2.9133,AODV,50,70,10,21,5,3
21,10.1.1.20,10.1.1.3,27,23,85.1852,8.688,1086,+1.37383e+09ns,0.0934924,AODV,50,70,10,21,5,3
22,10.1.1.20,10.1.1.41,7,7,100,2.112,264,+6.20648e+08ns,0.0237472,AODV,50,70,10,21,5,3
23,10.1.1.20,10.1.1.5,8,8,100,2.64,330,+2.89394e+09ns,0.0301316,AODV,50,70,10,21,5,3
24,10.1.1.20,10.1.1.37,5,5,100,1.488,186,+2.15548e+09ns,0.0210182,AODV,50,70,10,21,5,3
25,10.1.1.33,10.1.1.20,11,11,100,3.648,456,+4.87841e+08ns,0.0379496,AODV,50,70,10,21,5,3
26,10.1.1.33,10.1.1.3,26,24,92.3077,9.152,1144,+9.0119e+08ns,0.0941818,AODV,50,70,10,21,5,3
27,10.1.1.37,10.1.1.3,36,35,97.2222,13.008,1626,+8.3577e+08ns,0.139964,AODV,50,70,10,21,5,3
28,10.1.1.27,10.1.1.20,7,7,100,2.624,328,+1.20084e+08ns,0.0419073,AODV,50,70,10,21,5,3
29,10.1.1.27,10.1.1.3,5,5,100,1.92,240,+1.54604e+09ns,0.0249677,AODV,50,70,10,21,5,3
30,10.1.1.46,10.1.1.3,46,45,97.8261,16.848,2106,+2.72558e+09ns,0.18133,AODV,50,70,10,21,5,3
31,10.1.1.39,10.1.1.20,11,11,100,4.016,502,+1.9013e+08ns,0.042157,AODV,50,70,10,21,5,3
32,10.1.1.39,10.1.1.3,22,21,95.4545,7.648,956,+2.74262e+09ns,0.0790758,AODV,50,70,10,21,5,3
33,10.1.1.47,10.1.1.20,6,6,100,1.872,234,+1.02355e+09ns,0.0201423,AODV,50,70,10,21,5,3
34,10.1.1.47,10.1.1.3,17,16,94.1176,5.952,744,+1.58394e+09ns,0.0604943,AODV,50,70,10,21,5,3
35,10.1.1.5,10.1.1.3,19,17,89.4737,6.112,764,+6.80765e+08ns,0.0614639,AODV,50,70,10,21,5,3
36,10.1.1.26,10.1.1.20,4,4,100,1.536,192,+3.43509e+08ns,0.0215222,AODV,50,70,10,21,5,3
37,10.1.1.26,10.1.1.3,27,27,100,10.096,1262,+2.03266e+09ns,0.107426,AODV,50,70,10,21,5,3
38,10.1.1.7,10.1.1.20,9,8,88.8889,2.784,348,+8.55563e+07ns,0.0392556,AODV,50,70,10,21,5,3
39,10.1.1.7,10.1.1.3,29,24,82.7586,9.072,1134,+3.29299e+09ns,0.0912196,AODV,50,70,10,21,5,3
40,10.1.1.19,10.1.1.3,19,18,94.7368,6.624,828,+1.20897e+09ns,0.0681687,AODV,50,70,10,21,5,3
41,10.1.1.41,10.1.1.3,33,33,100,12.112,1514,+8.20341e+08ns,0.1259,AODV,50,70,10,21,5,3
42,10.1.1.28,10.1.1.3,14,13,92.8571,4.992,624,+8.429e+08ns,0.0521013,AODV,50,70,10,21,5,3
43,10.1.1.31,10.1.1.3,19,19,100,6.8,850,+1.7254e+09ns,0.0706317,AODV,50,70,10,21,5,3
44,10.1.1.10,10.1.1.3,26,25,96.1538,9.6,1200,+1.95322e+09ns,0.0998105,AODV,50,70,10,21,5,3
45,10.1.1.20,10.1.1.39,13,13,100,4.336,542,+1.44757e+09ns,0.0455396,AODV,50,70,10,21,5,3
46,10.1.1.20,10.1.1.33,15,15,100,5.2,650,+2.89005e+09ns,0.05411,AODV,50,70,10,21,5,3
47,10.1.1.20,10.1.1.7,11,10,90.9091,3.552,444,+1.93843e+08ns,0.0501167,AODV,50,70,10,21,5,3
48,10.1.1.20,10.1.1.27,10,9,90,2.88,360,+7.74451e+08ns,0.0380041,AODV,50,70,10,21,5,3
49,10.1.1.20,10.1.1.47,10,8,80,2.928,366,+5.31047e+08ns,0.0315248,AODV,50,70,10,21,5,3
50,10.1.1.20,10.1.1.26,4,4,100,1.248,156,+9.40926e+07ns,0.0168262,AODV,50,70,10,21,5,3
51,10.1.1.27,10.1.1.47,7,7,100,2.688,336,+2.64446e+08ns,0.0281526,AODV,50,70,10,21,5,3
52,10.1.1.39,10.1.1.47,15,15,100,5.616,702,+1.49532e+09ns,0.0591247,AODV,50,70,10,21,5,3
53,10.1.1.26,10.1.1.47,11,11,100,3.952,494,+5.12497e+08ns,0.0416068,AODV,50,70,10,21,5,3
54,10.1.1.7,10.1.1.47,7,6,85.7143,2.304,288,+9.88957e+07ns,0.0291703,AODV,50,70,10,21,5,3
55,10.1.1.41,10.1.1.47,26,26,100,9.056,1132,+2.3462e+09ns,0.0942539,AODV,50,70,10,21,5,3
56,10.1.1.16,10.1.1.6,399,228,57.1429,167.808,20976,+5.77534e+09ns,1.68651,AODV,50,70,10,21,5,3
57,10.1.1.17,10.1.1.7,399,391,97.995,287.776,35972,+3.28568e+09ns,2.8922,AODV,50,70,10,21,5,3
58,10.1.1.46,10.1.1.16,10,8,80,3.072,384,+1.05523e+09ns,0.0347853,AODV,50,70,10,21,5,3
59,10.1.1.46,10.1.1.6,10,10,100,3.12,390,+7.7033e+08ns,0.035439,AODV,50,70,10,21,5,3
60,10.1.1.5,10.1.1.16,19,19,100,7.04,880,+1.3106e+09ns,0.0797123,AODV,50,70,10,21,5,3
61,10.1.1.5,10.1.1.6,2,0,0,0,0,+0ns,-0,AODV,50,70,10,21,5,3
62,10.1.1.37,10.1.1.16,25,21,84,7.456,932,+5.5701e+09ns,0.0844145,AODV,50,70,10,21,5,3
63,10.1.1.37,10.1.1.6,18,18,100,6.432,804,+1.11003e+09ns,0.0669128,AODV,50,70,10,21,5,3
64,10.1.1.10,10.1.1.16,12,9,75,3.392,424,+4.0125e+09ns,0.0383928,AODV,50,70,10,21,5,3
65,10.1.1.10,10.1.1.6,7,0,0,0,0,+0ns,-0,AODV,50,70,10,21,5,3
66,10.1.1.20,10.1.1.16,15,14,93.3333,5.04,630,+1.45783e+09ns,0.0617696,AODV,50,70,10,21,5,3
67,10.1.1.20,10.1.1.6,8,8,100,3.072,384,+1.1235e+09ns,0.034997,AODV,50,70,10,21,5,3
68,10.1.1.28,10.1.1.16,14,0,0,0,0,+0ns,-0,AODV,50,70,10,21,5,3
69,10.1.1.28,10.1.1.6,7,0,0,0,0,+0ns,-0,AODV,50,70,10,21,5,3
70,10.1.1.27,10.1.1.16,29,29,100,10.8,1350,+1.07833e+09ns,0.342811,AODV,50,70,10,21,5,3
71,10.1.1.27,10.1.1.6,15,14,93.3333,4.944,618,+1.4142e+09ns,0.0502929,AODV,50,70,10,21,5,3
72,10.1.1.33,10.1.1.16,16,15,93.75,5.44,680,+1.73489e+09ns,0.0615816,AODV,50,70,10,21,5,3
73,10.1.1.33,10.1.1.6,11,0,0,0,0,+0ns,-0,AODV,50,70,10,21,5,3
74,10.1.1.41,10.1.1.16,16,14,87.5,4.96,620,+1.42305e+09ns,0.056141,AODV,50,70,10,21,5,3
75,10.1.1.41,10.1.1.6,4,4,100,1.536,192,+4.8459e+08ns,0.0174606,AODV,50,70,10,21,5,3
76,10.1.1.17,10.1.1.16,22,21,95.4545,7.152,894,+2.3381e+09ns,0.0803064,AODV,50,70,10,21,5,3
77,10.1.1.17,10.1.1.6,6,6,100,2.304,288,+4.46976e+08ns,0.0262103,AODV,50,70,10,21,5,3
78,10.1.1.39,10.1.1.16,14,12,85.7143,4.48,560,+1.63576e+09ns,0.0511449,AODV,50,70,10,21,5,3
79,10.1.1.39,10.1.1.6,10,10,100,3.488,436,+3.98052e+09ns,0.0395649,AODV,50,70,10,21,5,3
80,10.1.1.26,10.1.1.16,11,11,100,3.872,484,+7.78871e+08ns,0.0438463,AODV,50,70,10,21,5,3
81,10.1.1.26,10.1.1.6,14,13,92.8571,4.928,616,+1.06257e+09ns,0.0501646,AODV,50,70,10,21,5,3
82,10.1.1.42,10.1.1.16,10,7,70,2.624,328,+3.63634e+09ns,0.029644,AODV,50,70,10,21,5,3
83,10.1.1.42,10.1.1.6,7,0,0,0,0,+0ns,-0,AODV,50,70,10,21,5,3
