Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,268,67.1679,197.248,24656,+3.02166e+09ns,1.99744,AODV,50,70,10,7.5,5,3
2,10.1.1.20,10.1.1.10,399,87,21.8045,64.032,8004,+8.52287e+09ns,0.643532,AODV,50,70,10,7.5,5,3
3,10.1.1.11,10.1.1.1,399,193,48.3709,142.048,17756,+2.18807e+10ns,1.49916,AODV,50,70,10,7.5,5,3
4,10.1.1.16,10.1.1.6,399,66,16.5414,48.576,6072,+2.98789e+10ns,0.490475,AODV,50,70,10,7.5,5,3
5,10.1.1.17,10.1.1.7,399,263,65.9148,193.568,24196,+8.98566e+08ns,1.96438,AODV,50,70,10,7.5,5,3
6,10.1.1.39,10.1.1.17,20,20,100,7.216,902,+4.22299e+07ns,0.0799405,AODV,50,70,10,7.5,5,3
7,10.1.1.39,10.1.1.7,10,9,90,3.392,424,+2.84979e+07ns,0.0429291,AODV,50,70,10,7.5,5,3
8,10.1.1.47,10.1.1.17,1,1,100,0.384,48,+1.45146e+07ns,26.4561,AODV,50,70,10,7.5,5,3
9,10.1.1.47,10.1.1.7,3,3,100,1.152,144,+2.3301e+06ns,0.416871,AODV,50,70,10,7.5,5,3
10,10.1.1.17,10.1.1.39,10,10,100,3.136,392,+2.9664e+07ns,0.0391949,AODV,50,70,10,7.5,5,3
11,10.1.1.45,10.1.1.42,5,5,100,1.856,232,+1.9854e+09ns,0.0758866,AODV,50,70,10,7.5,5,3
12,10.1.1.45,10.1.1.7,5,4,80,1.536,192,+2.02803e+09ns,0.0292534,AODV,50,70,10,7.5,5,3
13,10.1.1.7,10.1.1.42,8,0,0,0,0,+0ns,-0,AODV,50,70,10,7.5,5,3
14,10.1.1.17,10.1.1.47,1,0,0,0,0,+0ns,-0,AODV,50,70,10,7.5,5,3
15,10.1.1.23,10.1.1.43,4,4,100,1.472,184,+4.44811e+06ns,0.0353124,AODV,50,70,10,7.5,5,3
16,10.1.1.23,10.1.1.7,3,0,0,0,0,+0ns,-0,AODV,50,70,10,7.5,5,3
17,10.1.1.38,10.1.1.43,12,12,100,4.464,558,+2.04339e+09ns,0.261574,AODV,50,70,10,7.5,5,3
18,10.1.1.38,10.1.1.7,6,6,100,2.304,288,+3.93137e+07ns,0.135362,AODV,50,70,10,7.5,5,3
19,10.1.1.43,10.1.1.23,1,1,100,0.24,30,+7.25547e+06ns,33.0785,AODV,50,70,10,7.5,5,3
20,10.1.1.43,10.1.1.42,7,7,100,2.624,328,+1.39864e+07ns,0.050871,AODV,50,70,10,7.5,5,3
