Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.20,10.1.1.10,99,22,22.2222,16.192,2024,+5.86693e+07ns,0.162731,OLSR,50,70,10,3,5,3
2,10.1.1.18,10.1.1.8,167,126,75.4491,92.736,11592,+5.30545e+09ns,1.12067,OLSR,50,70,10,3,5,3
3,10.1.1.14,10.1.1.4,143,38,26.5734,27.968,3496,+4.80427e+07ns,0.621506,OLSR,50,70,10,3,5,3
4,10.1.1.17,10.1.1.7,111,29,26.1261,21.344,2668,+3.0183e+09ns,0.422589,OLSR,50,70,10,3,5,3
5,10.1.1.11,10.1.1.1,39,7,17.9487,5.152,644,+4.46465e+06ns,3.4339,OLSR,50,70,10,3,5,3
6,10.1.1.13,10.1.1.3,66,15,22.7273,11.04,1380,+7.45388e+06ns,3.15398,OLSR,50,70,10,3,5,3
7,10.1.1.19,10.1.1.9,80,27,33.75,19.872,2484,+1.22072e+07ns,0.802898,OLSR,50,70,10,3,5,3
8,10.1.1.15,10.1.1.5,127,85,66.9291,62.56,7820,+3.68832e+07ns,1.26383,OLSR,50,70,10,3,5,3
9,10.1.1.16,10.1.1.6,24,2,8.33333,1.472,184,+7.08385e+06ns,5.88009,OLSR,50,70,10,3,5,3
