Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,368,92.2306,270.848,33856,+4.93486e+09ns,2.72208,OLSR,50,70,10,16.5,5,3
2,10.1.1.20,10.1.1.10,399,354,88.7218,260.544,32568,+1.28018e+09ns,2.61852,OLSR,50,70,10,16.5,5,3
3,10.1.1.11,10.1.1.1,399,313,78.4461,230.368,28796,+4.06821e+08ns,2.41855,OLSR,50,70,10,16.5,5,3
4,10.1.1.16,10.1.1.6,326,195,59.816,143.52,17940,+3.98264e+08ns,1.49499,OLSR,50,70,10,16.5,5,3
5,10.1.1.17,10.1.1.7,399,349,87.4687,256.864,32108,+2.23407e+08ns,2.58151,OLSR,50,70,10,16.5,5,3
6,10.1.1.18,10.1.1.8,399,399,100,293.664,36708,+1.42457e+08ns,2.95139,OLSR,50,70,10,16.5,5,3
7,10.1.1.14,10.1.1.4,398,315,79.1457,231.84,28980,+1.33658e+09ns,2.33591,OLSR,50,70,10,16.5,5,3
8,10.1.1.12,10.1.1.2,375,84,22.4,61.824,7728,+3.79134e+08ns,0.62606,OLSR,50,70,10,16.5,5,3
9,10.1.1.19,10.1.1.9,396,294,74.2424,216.384,27048,+2.28799e+09ns,2.19121,OLSR,50,70,10,16.5,5,3
10,10.1.1.13,10.1.1.3,396,280,70.7071,206.08,25760,+2.71813e+09ns,2.08687,OLSR,50,70,10,16.5,5,3
