Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.20,10.1.1.10,399,181,45.3634,133.216,16652,+2.44528e+09ns,1.33885,OLSR,50,70,10,10.5,5,3
2,10.1.1.16,10.1.1.6,210,31,14.7619,22.816,2852,+4.47973e+07ns,0.24337,OLSR,50,70,10,10.5,5,3
3,10.1.1.17,10.1.1.7,387,229,59.1731,168.544,21068,+1.12513e+08ns,1.827,OLSR,50,70,10,10.5,5,3
4,10.1.1.18,10.1.1.8,369,265,71.8157,195.04,24380,+5.41023e+09ns,2.05305,OLSR,50,70,10,10.5,5,3
5,10.1.1.14,10.1.1.4,378,162,42.8571,119.232,14904,+2.27642e+08ns,1.22602,OLSR,50,70,10,10.5,5,3
6,10.1.1.19,10.1.1.9,319,148,46.395,108.928,13616,+2.34561e+09ns,1.21028,OLSR,50,70,10,10.5,5,3
7,10.1.1.11,10.1.1.1,349,79,22.6361,58.144,7268,+2.47701e+09ns,0.682038,OLSR,50,70,10,10.5,5,3
8,10.1.1.13,10.1.1.3,277,87,31.4079,64.032,8004,+5.39027e+09ns,0.699717,OLSR,50,70,10,10.5,5,3
9,10.1.1.12,10.1.1.2,196,0,0,0,0,+0ns,-0,OLSR,50,70,10,10.5,5,3
10,10.1.1.15,10.1.1.5,345,213,61.7391,156.768,19596,+2.13819e+08ns,1.67666,OLSR,50,70,10,10.5,5,3
